,code
1998,391
1999,390
2000,3912
2001,389
2002,388
2003,387
2004,386
2005,3906
2006,3901
2007,3896
2008,385
2009,384
2010,3890
2011,383
2012,382
2013,3885
2014,381
2015,380
2016,379
2017,378
2018,3882
2019,377
2020,3877
2021,376
2022,375
2023,3865
2024,3859
2025,374
2026,3853
2027,3847
2028,373
2029,372
2030,3841
2031,371
2032,370
2033,3836
2034,3833
2035,369
2036,368
2037,3828
2038,3822
2039,3817
2040,367
2041,366
2042,3813
2043,3810
2044,365
2045,364
2046,3806
2047,3793
2048,362
2049,363
2050,361
2051,3790
2052,3787
2053,360
2054,359
2055,3783
2056,3780
2057,3777
2058,358
2059,357
2060,3774
2061,3771
2062,356
2063,355
2064,3768
2065,3759
2066,3756
2067,3753
2068,354
2069,353
2070,3750
2071,352
2072,351
2073,3747
2074,3744
2075,350
2076,349
2077,3741
2078,3738
2079,348
2080,347
2081,3732
2082,3726
2083,346
2084,345
2085,3722
2086,3719
2087,344
2088,343
2089,3714
2090,3711
2091,3708
2092,342
2093,341
2094,3703
2095,3699
2096,340
2097,339
2098,3684
2099,3678
2100,338
2101,337
2102,3675
2103,3670
2104,3667
2105,336
2106,335
2107,3662
2108,3658
2109,334
2110,333
2111,3644
2112,3641
2113,332
2114,331
2115,3638
2116,3635
2117,330
2118,3632
2119,3629
2120,329
2121,328
2122,3626
2123,3623
2124,327
2125,326
2126,324
2127,3620
2128,3617
2129,323
2130,322
2131,3615
2132,321
2133,320
2134,3612
2135,3610
2136,319
2137,318
2138,3607
2139,3604
2140,317
2141,316
2142,3602
2143,3591
2144,315
2145,314
2146,3588
2147,3582
2148,312
2149,3576
2150,313
2151,3573
2152,3568
2153,310
2154,309
2155,3561
2156,3556
2157,308
2158,307
2159,3554
2160,3550
2161,3545
2162,3540
2163,306
2164,305
2165,3534
2166,3531
2167,3528
2168,304
2169,303
2170,3524
2171,302
2172,301
2173,3521
2174,3516
2175,3510
2176,300
2177,299
2178,3507
2179,3501
2180,298
2181,3498
2182,3495
2183,3490
2184,297
2185,296
2186,3487
2187,3484
2188,295
2189,294
2190,293
2191,292
2192,3478
2193,291
2194,290
2195,3467
2196,3461
2197,289
2198,288
2199,3458
2200,3452
2201,287
2202,286
2203,3449
2204,3444
2205,285
2206,284
2207,3441
2208,3438
2209,3432
2210,3427
2211,283
2212,282
2213,3422
2214,3418
2215,3412
2216,3406
2217,281
2218,280
2219,3403
2220,3397
2221,279
2222,3391
2223,3385
2224,3382
2225,278
2226,277
2227,3379
2228,3376
2229,3373
2230,3368
2231,276
2232,275
2233,3365
2234,3362
2235,3357
2236,274
2237,273
2238,3354
2239,3351
2240,3348
2241,3345
2242,272
2243,271
2244,3342
2245,3338
2246,3335
2247,270
2248,269
2249,3332
2250,3326
2251,268
2252,267
2253,3323
2254,3320
2255,266
2256,3315
2257,265
2258,264
